id,dut,categories,test,description,inputs,result,messages
72,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-leaf2b Loopback0 (IP: 192.168.244.16),FAIL,Host: 192.168.244.16 Source: 192.168.244.14 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
73,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-spine1 Loopback0 (IP: 192.168.244.11),PASS,
74,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-spine2 Loopback0 (IP: 192.168.244.12),PASS,
75,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1 (IP: 172.31.254.53) - Destination: campus-a-spine1 Ethernet6 (IP: 172.31.254.52),PASS,
76,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 172.31.254.55) - Destination: campus-a-spine2 Ethernet6 (IP: 172.31.254.54),PASS,
77,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - P2P_campus-a-spine1_Ethernet6 = 'up',PASS,
78,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - P2P_campus-a-spine2_Ethernet6 = 'up',PASS,
79,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - MLAG_campus-a-leaf1a_Ethernet3 = 'up',FAIL,"Ethernet3 - Status mismatch - Expected: up/up, Actual: down/down"
80,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4 - MLAG_campus-a-leaf1a_Ethernet4 = 'up',FAIL,"Ethernet4 - Status mismatch - Expected: up/up, Actual: down/down"
81,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5 - L2_campus-a-leaf2c_Ethernet2 = 'up',FAIL,"Ethernet5 - Status mismatch - Expected: up/up, Actual: down/down"
82,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6 - L2_campus-a-leaf2d_Ethernet2 = 'up',FAIL,"Ethernet6 - Status mismatch - Expected: up/up, Actual: down/down"
83,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
84,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback1 - VXLAN_TUNNEL_SOURCE = 'up',PASS,
85,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback100 - DIAG_VRF_Blue = 'up',PASS,
86,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Management1 = 'up',PASS,
87,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel3 - MLAG_campus-a-leaf1a_Port-Channel3 = 'up',FAIL,"Port-Channel3 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
88,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel5 - L2_campus-a-leaf2c_Port-Channel1 = 'up',FAIL,"Port-Channel5 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
89,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel6 - L2_campus-a-leaf2d_Port-Channel1 = 'up',FAIL,"Port-Channel6 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
